"meta:instanceID","Identificacao:Data","Identificacao:localGps:Latitude","Identificacao:localGps:Longitude","Identificacao:localGps:Altitude","Identificacao:localGps:Accuracy","Identificacao:Localizacao","Identificacao:Genero","Identificacao:ondemora","Identificacao:Idade","teste1","teste2","comunidade1","comunidade2","comunidade3","comunidade4","comunidade5","casa1","casa2","casa3","casa4","casa5","escola1","escola2","escola3","escola4","escola5","espacos1","espacos2","espacos3","espacos4","espacos5","pessoas1","pessoas2","pessoas3","pessoas4","pessoas5","eu1","eu2","eu3","eu4","eu5","FavelaNews1","FavelaNews2","FavelaNews3","FavelaNews4","FavelaNews5"
"uuid:d5de1c99-54b7-4bcb-873f-e3af74ff8b9a","Sun Jun 08 00:00:00 UTC 2014","-8.0674205594","-34.8883265875","-1.0868567508","10.0000000000","null","M","Coelhos","11","0","0","0","0","0","2","0","0","0","2","0","0","0","0","0","0","2","2","2","2","2","2","2","2","2","0","0","2","0","0","0","0","1","2","0","2","0"
"uuid:c4d5081d-db74-460f-8dbc-68845102f3ff","Sun Jun 08 00:00:00 UTC 2014","null","null","null","null","Rio anapolis","F","Coelhos","8","0","1","0","0","1","2","0","0","0","2","2","2","0","2","0","1","1","1","2","1","1","2","0","1","2","2","0","2","2","2","2","0","1","1","2","2","0"
"uuid:aff347a6-38b3-410e-80d7-e167d58eca7b","Sun Jun 08 00:00:00 UTC 2014","null","null","null","null","Rua Rianopolis","M","Coelhos","9","0","2","0","0","0","0","0","0","0","1","0","0","1","0","1","2","0","1","0","0","0","2","0","2","0","0","0","1","2","0","0","0","2","2","2","1","1"
"uuid:063c5699-fc4b-4e3f-9554-0aff5cbc7697","Wed Jul 02 00:00:00 UTC 2014","-8.0691902000","-34.8908191000","0E-10","1374.0000000000","null","M","null","10","0","2","0","0","0","0","0","0","0","2","0","0","0","0","0","1","1","1","0","1","1","0","1","0","0","0","0","0","2","0","0","0","0","0","2","2","0"
"uuid:cb13a6d0-e337-4087-b6a8-007c11337c5d","Wed Jul 02 00:00:00 UTC 2014","-8.0645002000","-34.8848838000","0E-10","832.0000000000","null","M","null","10","1","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","2","2","0","0","2","2","0","0","2","0","0","0","1","0","2","1","0"
"uuid:ac6a4ce5-d0b9-43dc-8a9f-8e18e6e7f90b","Sun Jun 08 00:00:00 UTC 2014","null","null","null","null","Travessa Elisa da Concei??o","F","Coelhos","10","0","0","0","1","0","2","0","0","0","2","0","0","0","0","0","0","0","2","0","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"uuid:0168fc37-30d8-4bd9-b997-adee7d6915ef","Sun Jun 08 00:00:00 UTC 2014","null","null","null","null","Coelhos","F","Coelhos","8","0","1","0","0","0","2","1","0","0","2","0","1","0","2","0","0","0","2","0","0","2","2","2","0","2","0","0","0","2","0","0","0","2","2","2","2","0"
"uuid:b3ed943f-956d-431e-983e-f22bbfe4e22c","Sun Jun 08 00:00:00 UTC 2014","-8.0645002000","-34.8848838000","0E-10","832.0000000000","rua Oscar Severino de santana","F","Coelhos","12","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"uuid:327dde01-d9da-4839-a51c-28181dfe4475","Sun Jun 08 00:00:00 UTC 2014","-8.0647012000","-34.8844948000","0E-10","832.0000000000","null","F","Coelhos","10","0","2","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","2","2","0","1","1","0","0","2","0","0","0","0","2","0","1","0"
"uuid:7fa5e39d-773d-4c28-9ff7-25901b71f554","Sun Jun 08 00:00:00 UTC 2014","-8.0660442000","-34.8897691000","0E-10","1139.0000000000","Travessa julio Bernardes","M","Coelhos","10","0","2","2","1","0","1","2","0","0","2","0","1","1","2","0","0","1","1","2","1","0","0","2","1","2","0","0","0","1","1","1","0","2","99","2","1","0"
